Category: All categories

Month,gout: (Brazil)
2014-01,49
2014-02,52
2014-03,47
2014-04,60
2014-05,49
2014-06,64
2014-07,58
2014-08,68
2014-09,62
2014-10,53
2014-11,33
2014-12,67
2015-01,57
2015-02,72
2015-03,84
2015-04,58
2015-05,61
2015-06,71
2015-07,49
2015-08,62
2015-09,69
2015-10,58
2015-11,57
2015-12,58
2016-01,59
2016-02,69
2016-03,91
2016-04,69
2016-05,60
2016-06,63
2016-07,63
2016-08,42
2016-09,64
2016-10,59
2016-11,55
2016-12,54
2017-01,37
2017-02,57
2017-03,69
2017-04,46
2017-05,44
2017-06,53
2017-07,41
2017-08,65
2017-09,49
2017-10,49
2017-11,59
2017-12,62
2018-01,69
2018-02,67
2018-03,98
2018-04,45
2018-05,53
2018-06,53
2018-07,51
2018-08,71
2018-09,66
2018-10,49
2018-11,58
2018-12,100
2019-01,87
2019-02,82
2019-03,81
2019-04,59
2019-05,80
2019-06,80
2019-07,76
2019-08,72
2019-09,75
2019-10,64
2019-11,73
2019-12,65
2020-01,77
2020-02,63
2020-03,83
2020-04,59
2020-05,64
2020-06,67
2020-07,73
2020-08,61
2020-09,63
2020-10,75
2020-11,78
2020-12,62
2021-01,67
2021-02,66
2021-03,41
2021-04,59
2021-05,61
2021-06,42
2021-07,71
2021-08,51
2021-09,62
2021-10,61
2021-11,64
2021-12,62
2022-01,79
2022-02,45
2022-03,57
2022-04,53
2022-05,38
2022-06,42
2022-07,49
2022-08,53
2022-09,58
2022-10,47
2022-11,41
2022-12,60
2023-01,57
2023-02,63
2023-03,50
2023-04,52
2023-05,44
2023-06,54
2023-07,55
2023-08,72
2023-09,56
2023-10,61
2023-11,57
2023-12,56
2024-01,71
2024-02,69
2024-03,84
2024-04,43
