Category: All categories

Month,gout: (South Africa)
2014-01,72
2014-02,63
2014-03,52
2014-04,63
2014-05,71
2014-06,56
2014-07,54
2014-08,63
2014-09,63
2014-10,72
2014-11,67
2014-12,75
2015-01,75
2015-02,72
2015-03,70
2015-04,68
2015-05,77
2015-06,72
2015-07,65
2015-08,73
2015-09,74
2015-10,80
2015-11,79
2015-12,84
2016-01,72
2016-02,68
2016-03,58
2016-04,63
2016-05,59
2016-06,53
2016-07,60
2016-08,58
2016-09,65
2016-10,71
2016-11,67
2016-12,81
2017-01,74
2017-02,72
2017-03,68
2017-04,68
2017-05,65
2017-06,56
2017-07,63
2017-08,68
2017-09,73
2017-10,82
2017-11,76
2017-12,83
2018-01,81
2018-02,86
2018-03,78
2018-04,79
2018-05,68
2018-06,68
2018-07,73
2018-08,70
2018-09,74
2018-10,83
2018-11,80
2018-12,94
2019-01,100
2019-02,83
2019-03,86
2019-04,79
2019-05,76
2019-06,60
2019-07,72
2019-08,76
2019-09,76
2019-10,88
2019-11,88
2019-12,89
2020-01,95
2020-02,86
2020-03,65
2020-04,85
2020-05,71
2020-06,68
2020-07,92
2020-08,63
2020-09,69
2020-10,67
2020-11,72
2020-12,79
2021-01,84
2021-02,77
2021-03,66
2021-04,68
2021-05,65
2021-06,60
2021-07,63
2021-08,63
2021-09,67
2021-10,68
2021-11,73
2021-12,77
2022-01,90
2022-02,72
2022-03,71
2022-04,62
2022-05,68
2022-06,65
2022-07,68
2022-08,70
2022-09,71
2022-10,91
2022-11,83
2022-12,81
2023-01,89
2023-02,79
2023-03,90
2023-04,72
2023-05,67
2023-06,66
2023-07,65
2023-08,67
2023-09,66
2023-10,70
2023-11,73
2023-12,76
2024-01,89
2024-02,77
2024-03,73
2024-04,69
