Category: All categories

Month,gout: (England)
2014-01,81
2014-02,66
2014-03,63
2014-04,67
2014-05,67
2014-06,69
2014-07,67
2014-08,62
2014-09,63
2014-10,65
2014-11,61
2014-12,67
2015-01,64
2015-02,64
2015-03,67
2015-04,64
2015-05,63
2015-06,68
2015-07,82
2015-08,68
2015-09,66
2015-10,61
2015-11,62
2015-12,69
2016-01,65
2016-02,62
2016-03,69
2016-04,67
2016-05,75
2016-06,62
2016-07,72
2016-08,72
2016-09,70
2016-10,64
2016-11,60
2016-12,67
2017-01,65
2017-02,68
2017-03,69
2017-04,67
2017-05,78
2017-06,77
2017-07,74
2017-08,71
2017-09,67
2017-10,66
2017-11,63
2017-12,68
2018-01,68
2018-02,66
2018-03,74
2018-04,72
2018-05,78
2018-06,81
2018-07,81
2018-08,74
2018-09,68
2018-10,67
2018-11,69
2018-12,69
2019-01,79
2019-02,80
2019-03,77
2019-04,77
2019-05,76
2019-06,83
2019-07,88
2019-08,79
2019-09,65
2019-10,66
2019-11,66
2019-12,68
2020-01,77
2020-02,77
2020-03,60
2020-04,67
2020-05,77
2020-06,78
2020-07,71
2020-08,82
2020-09,65
2020-10,64
2020-11,67
2020-12,63
2021-01,70
2021-02,70
2021-03,80
2021-04,82
2021-05,72
2021-06,85
2021-07,84
2021-08,77
2021-09,70
2021-10,68
2021-11,65
2021-12,65
2022-01,75
2022-02,65
2022-03,70
2022-04,80
2022-05,81
2022-06,89
2022-07,87
2022-08,95
2022-09,83
2022-10,68
2022-11,68
2022-12,75
2023-01,81
2023-02,80
2023-03,75
2023-04,79
2023-05,93
2023-06,100
2023-07,79
2023-08,83
2023-09,81
2023-10,70
2023-11,64
2023-12,75
2024-01,78
2024-02,80
2024-03,77
2024-04,86
