Category: All categories

Month,gout: (Indonesia)
2014-01,59
2014-02,51
2014-03,71
2014-04,61
2014-05,61
2014-06,46
2014-07,42
2014-08,48
2014-09,71
2014-10,73
2014-11,83
2014-12,58
2015-01,60
2015-02,56
2015-03,73
2015-04,63
2015-05,69
2015-06,59
2015-07,45
2015-08,53
2015-09,73
2015-10,79
2015-11,71
2015-12,74
2016-01,55
2016-02,56
2016-03,62
2016-04,64
2016-05,58
2016-06,50
2016-07,49
2016-08,50
2016-09,64
2016-10,67
2016-11,71
2016-12,61
2017-01,59
2017-02,60
2017-03,61
2017-04,61
2017-05,72
2017-06,56
2017-07,71
2017-08,57
2017-09,65
2017-10,83
2017-11,77
2017-12,68
2018-01,73
2018-02,71
2018-03,81
2018-04,84
2018-05,73
2018-06,47
2018-07,61
2018-08,60
2018-09,82
2018-10,100
2018-11,82
2018-12,81
2019-01,80
2019-02,77
2019-03,88
2019-04,78
2019-05,75
2019-06,65
2019-07,81
2019-08,75
2019-09,89
2019-10,98
2019-11,81
2019-12,82
2020-01,78
2020-02,76
2020-03,73
2020-04,66
2020-05,60
2020-06,69
2020-07,61
2020-08,57
2020-09,61
2020-10,70
2020-11,65
2020-12,60
2021-01,59
2021-02,57
2021-03,61
2021-04,74
2021-05,65
2021-06,68
2021-07,56
2021-08,55
2021-09,66
2021-10,80
2021-11,87
2021-12,72
2022-01,71
2022-02,66
2022-03,80
2022-04,76
2022-05,60
2022-06,71
2022-07,69
2022-08,71
2022-09,85
2022-10,85
2022-11,78
2022-12,75
2023-01,75
2023-02,78
2023-03,81
2023-04,65
2023-05,77
2023-06,72
2023-07,75
2023-08,77
2023-09,82
2023-10,88
2023-11,86
2023-12,72
2024-01,76
2024-02,75
2024-03,83
2024-04,75
