Category: All categories

Month,gout: (Mexico)
2014-01,53
2014-02,47
2014-03,47
2014-04,48
2014-05,36
2014-06,49
2014-07,37
2014-08,33
2014-09,40
2014-10,69
2014-11,58
2014-12,53
2015-01,58
2015-02,54
2015-03,42
2015-04,40
2015-05,43
2015-06,39
2015-07,46
2015-08,46
2015-09,38
2015-10,28
2015-11,42
2015-12,61
2016-01,52
2016-02,57
2016-03,53
2016-04,46
2016-05,49
2016-06,44
2016-07,38
2016-08,38
2016-09,45
2016-10,63
2016-11,39
2016-12,41
2017-01,32
2017-02,56
2017-03,74
2017-04,62
2017-05,100
2017-06,72
2017-07,55
2017-08,52
2017-09,46
2017-10,44
2017-11,54
2017-12,55
2018-01,62
2018-02,68
2018-03,69
2018-04,55
2018-05,58
2018-06,71
2018-07,53
2018-08,67
2018-09,44
2018-10,57
2018-11,74
2018-12,55
2019-01,84
2019-02,80
2019-03,71
2019-04,96
2019-05,76
2019-06,63
2019-07,75
2019-08,63
2019-09,78
2019-10,67
2019-11,64
2019-12,82
2020-01,72
2020-02,63
2020-03,59
2020-04,43
2020-05,49
2020-06,45
2020-07,59
2020-08,44
2020-09,41
2020-10,32
2020-11,41
2020-12,44
2021-01,38
2021-02,39
2021-03,47
2021-04,47
2021-05,55
2021-06,47
2021-07,61
2021-08,61
2021-09,50
2021-10,47
2021-11,50
2021-12,50
2022-01,75
2022-02,69
2022-03,54
2022-04,48
2022-05,60
2022-06,67
2022-07,64
2022-08,45
2022-09,52
2022-10,67
2022-11,63
2022-12,59
2023-01,68
2023-02,61
2023-03,63
2023-04,63
2023-05,53
2023-06,52
2023-07,60
2023-08,67
2023-09,40
2023-10,45
2023-11,58
2023-12,67
2024-01,80
2024-02,79
2024-03,64
2024-04,76
