Category: All categories

Month,gout: (Ukraine)
2014-01,0
2014-02,0
2014-03,0
2014-04,62
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,43
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,58
2015-11,0
2015-12,0
2016-01,0
2016-02,41
2016-03,0
2016-04,57
2016-05,0
2016-06,50
2016-07,0
2016-08,0
2016-09,0
2016-10,39
2016-11,42
2016-12,0
2017-01,41
2017-02,0
2017-03,58
2017-04,71
2017-05,41
2017-06,0
2017-07,0
2017-08,0
2017-09,47
2017-10,0
2017-11,35
2017-12,0
2018-01,0
2018-02,30
2018-03,41
2018-04,56
2018-05,69
2018-06,54
2018-07,38
2018-08,34
2018-09,100
2018-10,37
2018-11,46
2018-12,62
2019-01,62
2019-02,53
2019-03,80
2019-04,79
2019-05,72
2019-06,54
2019-07,47
2019-08,0
2019-09,41
2019-10,45
2019-11,52
2019-12,82
2020-01,57
2020-02,50
2020-03,64
2020-04,64
2020-05,69
2020-06,55
2020-07,47
2020-08,40
2020-09,47
2020-10,71
2020-11,37
2020-12,51
2021-01,40
2021-02,40
2021-03,61
2021-04,66
2021-05,68
2021-06,51
2021-07,0
2021-08,35
2021-09,40
2021-10,35
2021-11,78
2021-12,49
2022-01,45
2022-02,30
2022-03,0
2022-04,31
2022-05,38
2022-06,0
2022-07,39
2022-08,0
2022-09,41
2022-10,52
2022-11,35
2022-12,40
2023-01,29
2023-02,26
2023-03,39
2023-04,38
2023-05,58
2023-06,36
2023-07,62
2023-08,0
2023-09,39
2023-10,40
2023-11,25
2023-12,0
2024-01,35
2024-02,35
2024-03,0
2024-04,23
