Category: All categories

Month,gout: (Nigeria)
2014-01,86
2014-02,80
2014-03,83
2014-04,58
2014-05,33
2014-06,65
2014-07,64
2014-08,57
2014-09,62
2014-10,66
2014-11,53
2014-12,53
2015-01,52
2015-02,63
2015-03,41
2015-04,54
2015-05,58
2015-06,56
2015-07,47
2015-08,60
2015-09,39
2015-10,59
2015-11,55
2015-12,49
2016-01,33
2016-02,42
2016-03,48
2016-04,58
2016-05,50
2016-06,55
2016-07,41
2016-08,34
2016-09,43
2016-10,51
2016-11,40
2016-12,38
2017-01,38
2017-02,31
2017-03,39
2017-04,41
2017-05,51
2017-06,45
2017-07,49
2017-08,44
2017-09,34
2017-10,39
2017-11,43
2017-12,36
2018-01,36
2018-02,45
2018-03,40
2018-04,37
2018-05,47
2018-06,47
2018-07,39
2018-08,45
2018-09,39
2018-10,40
2018-11,38
2018-12,34
2019-01,33
2019-02,44
2019-03,48
2019-04,58
2019-05,45
2019-06,50
2019-07,51
2019-08,59
2019-09,48
2019-10,61
2019-11,50
2019-12,50
2020-01,41
2020-02,46
2020-03,59
2020-04,46
2020-05,47
2020-06,43
2020-07,41
2020-08,45
2020-09,45
2020-10,40
2020-11,41
2020-12,43
2021-01,36
2021-02,46
2021-03,59
2021-04,100
2021-05,85
2021-06,92
2021-07,99
2021-08,81
2021-09,63
2021-10,50
2021-11,60
2021-12,50
2022-01,55
2022-02,56
2022-03,60
2022-04,50
2022-05,56
2022-06,56
2022-07,61
2022-08,61
2022-09,61
2022-10,65
2022-11,65
2022-12,53
2023-01,57
2023-02,57
2023-03,54
2023-04,67
2023-05,69
2023-06,71
2023-07,64
2023-08,48
2023-09,67
2023-10,54
2023-11,52
2023-12,52
2024-01,57
2024-02,60
2024-03,56
2024-04,53
2024-05,56
2024-06,55
2024-07,60
2024-08,49
2024-09,47
2024-10,45
2024-11,49
2024-12,58
