Category: All categories

Month,gout: (Cameroon)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,38
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,25
2016-02,0
2016-03,31
2016-04,27
2016-05,25
2016-06,22
2016-07,26
2016-08,23
2016-09,28
2016-10,0
2016-11,22
2016-12,34
2017-01,26
2017-02,28
2017-03,39
2017-04,19
2017-05,34
2017-06,0
2017-07,22
2017-08,17
2017-09,20
2017-10,30
2017-11,0
2017-12,20
2018-01,33
2018-02,25
2018-03,27
2018-04,64
2018-05,70
2018-06,91
2018-07,75
2018-08,46
2018-09,34
2018-10,23
2018-11,29
2018-12,33
2019-01,44
2019-02,41
2019-03,64
2019-04,61
2019-05,54
2019-06,47
2019-07,67
2019-08,66
2019-09,44
2019-10,48
2019-11,31
2019-12,33
2020-01,37
2020-02,35
2020-03,51
2020-04,52
2020-05,79
2020-06,57
2020-07,41
2020-08,39
2020-09,36
2020-10,34
2020-11,33
2020-12,38
2021-01,29
2021-02,81
2021-03,100
2021-04,72
2021-05,62
2021-06,58
2021-07,49
2021-08,40
2021-09,52
2021-10,35
2021-11,30
2021-12,36
2022-01,46
2022-02,51
2022-03,44
2022-04,47
2022-05,41
2022-06,39
2022-07,46
2022-08,42
2022-09,35
2022-10,28
2022-11,47
2022-12,40
2023-01,54
2023-02,35
2023-03,46
2023-04,38
2023-05,38
2023-06,88
2023-07,69
2023-08,59
2023-09,57
2023-10,55
2023-11,68
2023-12,70
2024-01,46
2024-02,45
2024-03,48
2024-04,39
2024-05,44
2024-06,34
2024-07,35
2024-08,46
2024-09,37
2024-10,29
2024-11,31
2024-12,32
