Category: All categories

Month,gout: (Zimbabwe)
2014-01,67
2014-02,47
2014-03,48
2014-04,73
2014-05,66
2014-06,55
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,51
2014-12,48
2015-01,44
2015-02,0
2015-03,66
2015-04,0
2015-05,44
2015-06,0
2015-07,0
2015-08,0
2015-09,58
2015-10,62
2015-11,72
2015-12,0
2016-01,40
2016-02,52
2016-03,34
2016-04,36
2016-05,44
2016-06,35
2016-07,51
2016-08,44
2016-09,66
2016-10,0
2016-11,47
2016-12,62
2017-01,78
2017-02,0
2017-03,44
2017-04,70
2017-05,47
2017-06,46
2017-07,48
2017-08,0
2017-09,61
2017-10,56
2017-11,42
2017-12,43
2018-01,73
2018-02,47
2018-03,56
2018-04,60
2018-05,63
2018-06,0
2018-07,0
2018-08,48
2018-09,54
2018-10,48
2018-11,55
2018-12,78
2019-01,73
2019-02,68
2019-03,56
2019-04,45
2019-05,50
2019-06,58
2019-07,0
2019-08,44
2019-09,61
2019-10,80
2019-11,65
2019-12,82
2020-01,72
2020-02,58
2020-03,50
2020-04,38
2020-05,69
2020-06,56
2020-07,53
2020-08,57
2020-09,78
2020-10,64
2020-11,55
2020-12,80
2021-01,51
2021-02,90
2021-03,59
2021-04,56
2021-05,41
2021-06,44
2021-07,47
2021-08,47
2021-09,61
2021-10,83
2021-11,49
2021-12,65
2022-01,59
2022-02,64
2022-03,60
2022-04,55
2022-05,51
2022-06,47
2022-07,79
2022-08,65
2022-09,64
2022-10,78
2022-11,62
2022-12,80
2023-01,57
2023-02,88
2023-03,100
2023-04,85
2023-05,61
2023-06,43
2023-07,48
2023-08,67
2023-09,70
2023-10,74
2023-11,67
2023-12,84
2024-01,86
2024-02,58
2024-03,74
2024-04,38
2024-05,57
2024-06,63
2024-07,55
2024-08,88
2024-09,70
2024-10,75
2024-11,69
2024-12,82
