Category: All categories

Month,gout: (Trinidad & Tobago)
2014-01,51
2014-02,50
2014-03,47
2014-04,47
2014-05,45
2014-06,39
2014-07,44
2014-08,49
2014-09,40
2014-10,66
2014-11,25
2014-12,68
2015-01,38
2015-02,35
2015-03,36
2015-04,60
2015-05,51
2015-06,44
2015-07,44
2015-08,34
2015-09,35
2015-10,24
2015-11,65
2015-12,63
2016-01,57
2016-02,46
2016-03,47
2016-04,41
2016-05,35
2016-06,35
2016-07,51
2016-08,28
2016-09,52
2016-10,30
2016-11,37
2016-12,51
2017-01,34
2017-02,47
2017-03,70
2017-04,64
2017-05,87
2017-06,54
2017-07,32
2017-08,61
2017-09,54
2017-10,40
2017-11,76
2017-12,58
2018-01,69
2018-02,41
2018-03,83
2018-04,41
2018-05,42
2018-06,43
2018-07,73
2018-08,54
2018-09,54
2018-10,57
2018-11,48
2018-12,43
2019-01,53
2019-02,50
2019-03,71
2019-04,35
2019-05,58
2019-06,52
2019-07,62
2019-08,73
2019-09,45
2019-10,57
2019-11,44
2019-12,50
2020-01,68
2020-02,57
2020-03,48
2020-04,52
2020-05,73
2020-06,70
2020-07,75
2020-08,54
2020-09,50
2020-10,60
2020-11,47
2020-12,55
2021-01,51
2021-02,65
2021-03,58
2021-04,54
2021-05,50
2021-06,40
2021-07,51
2021-08,39
2021-09,41
2021-10,37
2021-11,36
2021-12,55
2022-01,60
2022-02,49
2022-03,58
2022-04,62
2022-05,55
2022-06,42
2022-07,62
2022-08,49
2022-09,50
2022-10,52
2022-11,43
2022-12,45
2023-01,49
2023-02,61
2023-03,81
2023-04,68
2023-05,50
2023-06,67
2023-07,65
2023-08,53
2023-09,63
2023-10,68
2023-11,44
2023-12,68
2024-01,46
2024-02,60
2024-03,64
2024-04,69
2024-05,50
2024-06,61
2024-07,54
2024-08,59
2024-09,49
2024-10,52
2024-11,68
2024-12,100
